text,sentiment
2 лица,негативная тональность
2-граней,негативная тональность
ненормальный,негативная тональность
упразднять,негативная тональность
отвратительный,негативная тональность
гнусно,негативная тональность
питать отвращение,негативная тональность
мерзость,негативная тональность
выкинуть,негативная тональность
прервана,негативная тональность
прекращает,негативная тональность
обдирать,негативная тональность
абразивный,негативная тональность
крутой,негативная тональность
резко,негативная тональность
бежать,негативная тональность
отсутствие,негативная тональность
рассеян,негативная тональность
отсутствующий,негативная тональность
абсурд,негативная тональность
нелепость,негативная тональность
абсурдно,негативная тональность
абсурдность,негативная тональность
злоупотребление,негативная тональность
злоупотребляли,негативная тональность
нарушения,негативная тональность
оскорбительный,негативная тональность
бездонный,негативная тональность
плачевно,негативная тональность
бездна,негативная тональность
случайный,негативная тональность
приставать,негативная тональность
проклятый,негативная тональность
обвинение,негативная тональность
обвинения,негативная тональность
обвинять,негативная тональность
обвиняет,негативная тональность
обвинение,негативная тональность
осуждающе,негативная тональность
озлобленный,негативная тональность
терпкий,негативная тональность
кисло,негативная тональность
боль,негативная тональность
ныло,негативная тональность
ломота,негативная тональность
achey,негативная тональность
болящий,негативная тональность
едкий,негативная тональность
acridly,негативная тональность
acridness,негативная тональность
желчный,негативная тональность
язвительно,негативная тональность
язвительность,негативная тональность
непреклонный,негативная тональность
непреклонно,негативная тональность
наркоман,негативная тональность
склонный,негативная тональность
увлекающаяся,негативная тональность
наркоманы,негативная тональность
увещевать,негативная тональность
admonisher,негативная тональность
наставительно,негативная тональность
увещевание,негативная тональность
увещевание,негативная тональность
фальсифицированный,негативная тональность
фальсифицированный,негативная тональность
фальсификация,негативная тональность
adulterier,негативная тональность
состязательный,негативная тональность
состязательный,негативная тональность
неблагоприятный,негативная тональность
напасти,негативная тональность
тревожить,негативная тональность
недуг,негативная тональность
прискорбный,негативная тональность
оскорбление,негативная тональность
боюсь,негативная тональность
обострять,негативная тональность
ухудшающий,негативная тональность
усугубление,негативная тональность
агрессия,негативная тональность
агрессивный,негативная тональность
агрессивность,негативная тональность
агрессор,негативная тональность
удручать,негативная тональность
обиженный,негативная тональность
aggrivation,негативная тональность
ошеломленный,негативная тональность
агония,негативная тональность
мучиться,негативная тональность
мучительный,негативная тональность
мучительно,негативная тональность
агония,негативная тональность
на мели,негативная тональность
Айыл,негативная тональность
больной,негативная тональность
недуг,негативная тональность
бесцельный,негативная тональность
тревога,негативная тональность
встревоженный,негативная тональность
тревожный,негативная тональность
угрожающе,негативная тональность
отчуждать,негативная тональность
отчужденный,негативная тональность
отчуждение,негативная тональность
утверждение,негативная тональность
утверждения,негативная тональность
утверждать,негативная тональность
аллергический,негативная тональность
аллергии,негативная тональность
аллергия,негативная тональность
